instant,dteday,hr,weathersit,temp,atemp,hum,windspeed,cnt
148,2011/1/7,10,1,9.02,9.85,37,22.0028,63
149,2011/1/7,11,2,8.2,9.85,40,15.0013,67
150,2011/1/7,12,2,8.2,9.85,37,16.9979,59
151,2011/1/7,13,2,8.2,9.09,37,19.0012,73
152,2011/1/7,14,2,8.2,9.85,40,16.9979,50
153,2011/1/7,15,2,8.2,10.605,37,11.0014,72
154,2011/1/7,16,2,8.2,10.605,37,11.0014,87
155,2011/1/7,17,2,8.2,12.88,37,0,187
156,2011/1/7,18,1,8.2,11.365,40,6.0032,123
157,2011/1/7,19,1,6.56,9.85,55,6.0032,95
158,2011/1/7,20,1,7.38,10.605,47,7.0015,51
159,2011/1/7,21,1,7.38,9.85,47,8.9981,39
160,2011/1/7,22,2,7.38,9.85,43,11.0014,36
161,2011/1/7,23,2,7.38,9.85,51,11.0014,15
162,2011/1/8,0,2,7.38,9.85,51,11.0014,25
163,2011/1/8,1,2,7.38,10.605,55,6.0032,16
164,2011/1/8,2,2,7.38,12.12,55,0,16
165,2011/1/8,3,3,7.38,9.85,55,11.0014,7
166,2011/1/8,4,3,7.38,9.85,55,11.0014,1
167,2011/1/8,5,2,6.56,8.335,74,11.0014,5
168,2011/1/8,6,2,6.56,8.335,74,11.0014,2
169,2011/1/8,7,2,6.56,9.09,74,7.0015,9
170,2011/1/8,8,3,6.56,9.09,93,7.0015,15
171,2011/1/8,9,3,6.56,9.09,93,7.0015,20
172,2011/1/8,10,2,7.38,9.85,80,11.0014,61
173,2011/1/8,11,2,8.2,9.09,69,26.0027,62
174,2011/1/8,12,2,8.2,9.09,59,23.9994,98
175,2011/1/8,13,1,8.2,9.09,44,22.0028,102
176,2011/1/8,14,1,8.2,8.335,32,32.9975,95
177,2011/1/8,15,1,8.2,8.335,32,30.0026,74
178,2011/1/8,16,1,7.38,6.82,29,30.0026,76
179,2011/1/8,17,1,6.56,6.06,37,36.9974,69
180,2011/1/8,18,1,5.74,6.06,39,19.9995,55
181,2011/1/8,19,1,5.74,6.06,36,16.9979,30
182,2011/1/8,20,1,4.92,6.06,36,16.9979,28
183,2011/1/8,21,1,4.92,5.305,39,23.9994,37
184,2011/1/8,22,1,4.92,5.305,36,26.0027,34
185,2011/1/8,23,1,4.1,3.03,39,30.0026,22
186,2011/1/9,0,1,4.1,3.79,42,26.0027,25
187,2011/1/9,1,1,4.1,3.03,42,31.0009,12
188,2011/1/9,2,1,4.1,3.03,46,31.0009,11
189,2011/1/9,3,1,4.1,3.79,46,27.9993,4
190,2011/1/9,4,1,3.28,4.545,53,12.998,1
191,2011/1/9,5,1,3.28,4.545,53,12.998,1
192,2011/1/9,6,1,4.1,4.545,49,19.0012,1
193,2011/1/9,7,1,3.28,4.545,53,12.998,6
194,2011/1/9,8,1,4.1,4.545,49,19.0012,10
195,2011/1/9,9,1,4.92,3.79,46,35.0008,19
196,2011/1/9,10,1,5.74,5.305,43,26.0027,49
197,2011/1/9,11,1,6.56,6.06,40,35.0008,49
198,2011/1/9,12,1,7.38,6.82,37,30.0026,83
199,2011/1/9,13,1,8.2,8.335,34,30.0026,75
200,2011/1/9,14,1,9.02,9.09,32,31.0009,72
201,2011/1/9,15,1,9.02,9.85,35,23.9994,82
202,2011/1/9,16,1,8.2,8.335,34,30.0026,92
203,2011/1/9,17,1,7.38,7.575,37,26.0027,62
204,2011/1/9,18,1,6.56,6.82,40,22.0028,48
205,2011/1/9,19,1,6.56,6.82,43,22.0028,41
206,2011/1/9,20,1,5.74,6.06,46,16.9979,38
207,2011/1/9,21,1,5.74,5.305,46,27.9993,20
208,2011/1/9,22,1,5.74,6.06,46,19.9995,15
209,2011/1/9,23,1,4.92,6.82,50,12.998,6
210,2011/1/10,0,1,4.92,6.06,50,19.0012,5
211,2011/1/10,1,1,4.92,6.06,50,19.0012,1
212,2011/1/10,2,1,4.92,6.06,50,15.0013,3
213,2011/1/10,3,1,4.92,6.06,50,15.0013,1
214,2011/1/10,4,1,4.1,6.06,54,8.9981,3
215,2011/1/10,5,1,4.1,5.305,54,16.9979,3
216,2011/1/10,6,1,4.92,6.06,50,19.0012,31
217,2011/1/10,7,1,4.92,6.06,50,15.0013,77
218,2011/1/10,8,2,4.92,6.06,50,19.0012,188
219,2011/1/10,9,2,?,6.06,50,16.9979,94
220,2011/1/10,10,2,5.74,6.06,50,19.9995,31
221,2011/1/10,11,2,6.56,6.82,47,19.0012,30
222,2011/1/10,12,2,8.2,9.09,40,19.0012,52
223,2011/1/10,13,2,8.2,9.09,40,19.0012,54
224,2011/1/10,14,2,8.2,9.85,40,15.0013,47
225,2011/1/10,15,2,8.2,9.85,40,15.0013,45
226,2011/1/10,16,1,8.2,10.605,40,8.9981,74
227,2011/1/10,17,1,8.2,11.365,40,7.0015,178
228,2011/1/10,18,1,8.2,9.85,40,15.0013,155
229,2011/1/10,19,1,6.56,8.335,47,11.0014,95
230,2011/1/10,20,1,6.56,8.335,50,11.0014,74
231,2011/1/10,21,1,5.74,6.82,59,12.998,38
232,2011/1/10,22,1,5.74,7.575,59,11.0014,24
233,2011/1/10,23,1,5.74,7.575,59,11.0014,18
234,2011/1/11,0,1,5.74,8.335,59,7.0015,12
235,2011/1/11,1,1,5.74,7.575,59,11.0014,3
236,2011/1/11,2,2,6.56,7.575,55,12.998,3
237,2011/1/11,5,2,6.56,9.09,55,8.9981,6
238,2011/1/11,6,2,6.56,9.09,55,8.9981,27
239,2011/1/11,7,2,6.56,11.365,55,0,99
240,2011/1/11,8,2,7.38,10.605,51,6.0032,217
241,2011/1/11,9,2,7.38,9.85,51,11.0014,130
242,2011/1/11,10,2,8.2,10.605,51,11.0014,54
243,2011/1/11,11,2,8.2,10.605,47,8.9981,35
244,2011/1/11,12,2,8.2,11.365,51,7.0015,57
245,2011/1/11,13,2,8.2,11.365,59,6.0032,52
246,2011/1/11,14,2,8.2,11.365,59,6.0032,63
247,2011/1/11,15,2,6.56,9.85,80,6.0032,47
248,2011/1/11,16,2,6.56,7.575,86,15.0013,76
249,2011/1/11,17,2,6.56,7.575,86,15.0013,136
250,2011/1/11,18,3,6.56,9.09,93,7.0015,95
251,2011/1/11,19,3,6.56,11.365,93,0,51
252,2011/1/11,20,3,6.56,7.575,93,12.998,32
253,2011/1/11,21,3,6.56,9.85,86,6.0032,20
254,2011/1/11,22,3,6.56,9.09,93,7.0015,29
255,2011/1/11,23,3,6.56,9.85,93,6.0032,19
256,2011/1/12,0,2,6.56,9.85,86,6.0032,7
257,2011/1/12,1,2,6.56,9.09,86,7.0015,6
258,2011/1/12,2,1,5.74,7.575,86,8.9981,1
259,2011/1/12,5,1,5.74,7.575,86,11.0014,5
260,2011/1/12,6,1,4.92,7.575,93,8.9981,16
261,2011/1/12,7,1,5.74,7.575,69,8.9981,54
262,2011/1/12,8,1,6.56,8.335,59,11.0014,128
263,2011/1/12,9,1,6.56,6.82,59,22.0028,81
264,2011/1/12,10,1,7.38,9.09,55,15.0013,39
265,2011/1/12,11,1,8.2,9.09,51,26.0027,35
266,2011/1/12,12,1,8.2,7.575,47,39.0007,55
267,2011/1/12,13,1,9.02,9.85,44,23.9994,49
268,2011/1/12,14,1,8.2,9.09,47,22.0028,44
269,2011/1/12,15,1,8.2,8.335,47,27.9993,49
270,2011/1/12,16,1,9.02,9.85,44,22.0028,68
271,2011/1/12,17,1,8.2,9.09,47,23.9994,139
272,2011/1/12,18,1,8.2,7.575,47,35.0008,137
273,2011/1/12,19,1,7.38,7.575,47,27.9993,83
274,2011/1/12,20,1,6.56,6.82,50,22.0028,56
275,2011/1/12,21,1,6.56,6.82,55,22.0028,57
276,2011/1/12,22,1,6.56,6.06,55,30.0026,33
277,2011/1/12,23,1,5.74,5.305,59,27.9993,20
278,2011/1/13,0,1,5.74,6.06,59,19.0012,7
279,2011/1/13,1,1,5.74,6.06,50,19.0012,2
280,2011/1/13,2,1,5.74,6.06,50,23.9994,2
281,2011/1/13,3,1,5.74,6.06,50,22.0028,3
282,2011/1/13,4,1,5.74,6.06,50,16.9979,4
283,2011/1/13,5,1,5.74,6.06,50,19.9995,3
284,2011/1/13,6,1,4.92,7.575,54,8.9981,28
285,2011/1/13,7,1,4.92,7.575,54,8.9981,72
286,2011/1/13,8,1,5.74,6.82,50,12.998,202
287,2011/1/13,9,1,5.74,6.06,50,22.0028,139
288,2011/1/13,10,2,6.56,6.82,50,23.9994,38
289,2011/1/13,11,2,8.2,8.335,44,30.0026,37
290,2011/1/13,12,1,8.2,8.335,44,27.9993,52
291,2011/1/13,13,1,9.02,9.85,41,30.0026,83
292,2011/1/13,14,1,9.02,9.85,41,26.0027,42
293,2011/1/13,15,1,9.84,10.605,38,19.9995,60
294,2011/1/13,16,1,9.84,10.605,38,23.9994,78
295,2011/1/13,17,1,8.2,9.09,40,19.0012,162
296,2011/1/13,18,1,8.2,9.09,40,22.0028,144
297,2011/1/13,19,1,6.56,7.575,47,16.9979,99
298,2011/1/13,20,1,6.56,7.575,47,15.0013,64
299,2011/1/13,21,1,5.74,6.06,46,19.9995,40
300,2011/1/13,22,1,5.74,6.06,46,22.0028,30
301,2011/1/13,23,1,4.92,6.82,50,12.998,15
302,2011/1/14,0,1,4.92,6.82,50,12.998,14
303,2011/1/14,1,1,4.1,6.06,54,11.0014,5
304,2011/1/14,2,1,4.1,6.06,54,8.9981,1
305,2011/1/14,3,?,4.1,6.82,54,7.0015,1
306,2011/1/14,5,1,4.1,6.82,54,6.0032,8
307,2011/1/14,6,1,4.1,9.09,54,0,17
308,2011/1/14,7,1,4.1,6.06,74,11.0014,70
309,2011/1/14,8,1,4.92,8.335,68,0,158
310,2011/1/14,9,1,5.74,7.575,69,8.9981,117
311,2011/1/14,10,1,7.38,9.09,55,12.998,44
312,2011/1/14,11,1,7.38,8.335,51,19.0012,53
313,2011/1/14,12,1,8.2,9.85,44,16.9979,61
314,2011/1/14,13,1,9.02,9.85,37,26.0027,77
315,2011/1/14,14,1,9.02,10.605,41,19.0012,64
316,2011/1/14,15,1,9.84,12.12,38,11.0014,68
317,2011/1/14,16,1,9.02,12.12,41,7.0015,90
318,2011/1/14,17,1,9.02,11.365,41,11.0014,159
319,2011/1/14,18,1,8.2,12.88,47,0,139
320,2011/1/14,19,1,6.56,9.85,59,6.0032,92
321,2011/1/14,20,1,7.38,12.12,59,0,68
322,2011/1/14,21,1,6.56,11.365,69,0,52
323,2011/1/14,22,2,6.56,11.365,69,0,36
324,2011/1/14,23,2,7.38,12.12,55,0,27
325,2011/1/15,0,1,7.38,12.12,55,0,28
326,2011/1/15,1,2,6.56,9.85,59,6.0032,20
327,2011/1/15,2,2,6.56,9.85,59,6.0032,12
328,2011/1/15,3,2,6.56,11.365,59,0,8
329,2011/1/15,4,2,6.56,11.365,59,0,5
330,2011/1/15,5,1,6.56,11.365,59,0,1
331,2011/1/15,6,1,5.74,8.335,63,7.0015,3
332,2011/1/15,7,1,5.74,10.605,63,0,10
333,2011/1/15,8,1,5.74,7.575,63,8.9981,23
334,2011/1/15,9,1,6.56,9.09,64,8.9981,33
335,2011/1/15,10,1,7.38,9.85,59,11.0014,59
336,2011/1/15,11,1,8.2,9.85,55,15.0013,72
337,2011/1/15,12,1,9.84,11.365,48,15.0013,89
338,2011/1/15,13,1,11.48,12.88,38,19.9995,101
339,2011/1/15,14,1,12.3,14.395,39,19.0012,118
340,2011/1/15,15,2,13.12,15.91,36,12.998,129
341,2011/1/15,16,2,13.94,16.665,34,12.998,128
342,2011/1/15,17,2,13.12,15.15,36,19.0012,83
343,2011/1/15,18,2,12.3,14.395,45,16.9979,84
344,2011/1/15,19,2,13.12,15.15,39,16.9979,74
345,2011/1/15,20,2,13.12,15.15,39,16.9979,41
346,2011/1/15,21,2,13.12,15.15,39,15.0013,57
347,2011/1/15,22,2,12.3,15.91,42,7.0015,26
348,2011/1/15,23,1,12.3,14.395,45,19.0012,44
349,2011/1/16,0,1,10.66,15.15,56,0,39
350,2011/1/16,1,1,10.66,13.635,56,8.9981,23
351,2011/1/16,2,1,10.66,14.395,56,6.0032,16
352,2011/1/16,3,1,9.02,13.635,69,0,15
353,2011/1/16,4,1,10.66,12.88,56,11.0014,1
354,2011/1/16,5,2,10.66,12.88,56,11.0014,2
355,2011/1/16,6,2,10.66,12.88,56,11.0014,1
356,2011/1/16,7,2,9.84,10.605,56,?,3
357,2011/1/16,8,1,9.02,10.605,55,19.0012,18
358,2011/1/16,9,1,9.02,10.605,51,16.9979,32
359,2011/1/16,10,1,9.02,10.605,51,19.0012,79
360,2011/1/16,11,1,9.84,11.365,44,16.9979,93
361,2011/1/16,12,1,9.84,10.605,41,19.0012,104
362,2011/1/16,13,1,10.66,11.365,35,19.9995,118
363,2011/1/16,14,1,11.48,13.635,36,16.9979,91
364,2011/1/16,15,1,10.66,12.12,38,16.9979,113
365,2011/1/16,16,1,9.84,11.365,38,15.0013,99
366,2011/1/16,17,1,9.02,10.605,37,16.9979,105
367,2011/1/16,18,1,8.2,10.605,40,11.0014,67
368,2011/1/16,19,1,7.38,9.85,47,8.9981,61
369,2011/1/16,20,1,7.38,9.85,47,11.0014,57
370,2011/1/16,21,1,7.38,9.85,51,11.0014,28
371,2011/1/16,22,2,8.2,10.605,49,8.9981,21
372,2011/1/16,23,2,8.2,11.365,40,7.0015,18
373,2011/1/17,0,2,8.2,9.85,47,15.0013,17
374,2011/1/17,1,2,8.2,9.85,44,12.998,16
375,2011/1/17,2,2,7.38,8.335,43,16.9979,8
376,2011/1/17,3,2,7.38,9.09,43,12.998,2
377,2011/1/17,4,2,7.38,9.85,43,8.9981,3
378,2011/1/17,5,2,7.38,9.85,43,11.0014,1
379,2011/1/17,6,2,7.38,9.09,43,12.998,5
380,2011/1/17,7,2,6.56,9.09,50,8.9981,13
381,2011/1/17,8,2,6.56,7.575,47,15.0013,33
382,2011/1/17,9,2,6.56,7.575,47,15.0013,47
383,2011/1/17,10,2,6.56,7.575,50,16.9979,57
384,2011/1/17,11,2,6.56,7.575,55,12.998,64
385,2011/1/17,12,2,7.38,9.85,47,8.9981,80
386,2011/1/17,13,2,7.38,9.85,47,8.9981,93
387,2011/1/17,14,2,7.38,10.605,43,7.0015,86
388,2011/1/17,15,2,8.2,10.605,47,11.0014,93
389,2011/1/17,16,2,8.2,10.605,47,11.0014,82
390,2011/1/17,17,1,8.2,9.85,51,12.998,71
391,2011/1/17,18,2,7.38,8.335,55,16.9979,92
392,2011/1/17,19,3,7.38,9.09,59,12.998,60
393,2011/1/17,20,3,6.56,7.575,80,12.998,33
394,2011/1/17,21,3,6.56,7.575,80,12.998,27
395,2011/1/17,22,3,5.74,6.06,93,16.9979,13
396,2011/1/17,23,3,6.56,6.82,86,19.0012,4
397,2011/1/18,12,2,8.2,9.09,86,22.0028,3
398,2011/1/18,13,2,8.2,9.85,86,15.0013,22
399,2011/1/18,14,2,9.02,11.365,80,11.0014,28
400,2011/1/18,15,2,9.02,11.365,87,11.0014,35
401,2011/1/18,16,2,9.02,11.365,87,12.998,61
402,2011/1/18,17,2,9.02,11.365,82,12.998,125
403,2011/1/18,18,2,9.02,11.365,80,11.0014,133
404,2011/1/18,19,2,9.02,11.365,80,8.9981,99
405,2011/1/18,20,2,9.02,13.635,87,0,83
406,2011/1/18,21,2,9.02,12.12,93,7.0015,41
407,2011/1/18,22,2,9.02,12.88,93,6.0032,33
408,2011/1/18,23,2,9.02,13.635,93,0,20
409,2011/1/19,0,2,9.02,13.635,93,0,3
410,2011/1/19,1,3,9.02,11.365,93,8.9981,7
411,2011/1/19,2,3,9.02,11.365,93,8.9981,3
412,2011/1/19,4,3,9.02,11.365,93,8.9981,2
413,2011/1/19,5,2,9.02,12.88,93,6.0032,7
414,2011/1/19,6,2,9.02,12.88,93,6.0032,32
415,2011/1/19,7,2,9.84,12.88,92,7.0015,90
416,2011/1/19,8,2,9.84,12.88,93,7.0015,197
417,2011/1/19,9,2,9.84,12.88,93,7.0015,109
418,2011/1/19,10,2,10.66,13.635,93,8.9981,47
419,2011/1/19,11,2,11.48,15.15,87,6.0032,52
420,2011/1/19,12,2,12.3,15.91,81,6.0032,70
421,2011/1/19,13,1,16.4,20.455,62,19.0012,78
422,2011/1/19,14,1,16.4,20.455,58,16.9979,75
423,2011/1/19,15,1,16.4,20.455,54,19.0012,82
424,2011/1/19,16,1,15.58,19.695,58,26.0027,104
425,2011/1/19,17,1,14.76,16.665,57,22.0028,197
426,2011/1/19,18,1,13.94,15.91,61,19.0012,161
427,2011/1/19,19,1,13.12,14.395,57,27.9993,112
428,2011/1/19,20,1,13.12,15.15,49,19.9995,76
429,2011/1/19,21,1,13.12,14.395,49,27.9993,59
430,2011/1/19,22,1,12.3,15.15,52,11.0014,59
431,2011/1/19,23,1,12.3,13.635,52,31.0009,28
432,2011/1/20,0,1,10.66,11.365,56,26.0027,13
433,2011/1/20,1,1,10.66,13.635,56,0,5
434,2011/1/20,2,1,10.66,13.635,56,0,2
435,2011/1/20,3,1,10.66,12.88,56,11.0014,1
436,2011/1/20,4,1,10.66,12.88,56,11.0014,1
437,2011/1/20,5,1,9.84,11.365,60,15.0013,6
438,2011/1/20,6,1,9.02,10.605,60,15.0013,35
439,2011/1/20,7,1,9.02,10.605,55,15.0013,101
440,2011/1/20,8,1,9.02,10.605,55,19.0012,249
441,2011/1/20,9,2,9.84,11.365,52,15.0013,143
442,2011/1/20,10,1,10.66,11.365,48,19.9995,57
443,2011/1/20,11,2,11.48,13.635,45,11.0014,68
444,2011/1/20,12,2,12.3,16.665,42,0,84
445,2011/1/20,13,2,11.48,14.395,45,7.0015,98
446,2011/1/20,14,2,12.3,15.15,45,8.9981,81
447,2011/1/20,15,2,13.12,15.91,45,12.998,70
448,2011/1/20,16,2,12.3,15.15,49,8.9981,91
449,2011/1/20,17,2,12.3,15.91,49,7.0015,215
450,2011/1/20,18,2,10.66,12.88,56,12.998,185
451,2011/1/20,19,1,10.66,11.365,56,22.0028,152
452,2011/1/20,20,2,10.66,12.12,60,19.0012,126
453,2011/1/20,21,2,9.84,11.365,60,16.9979,57
454,2011/1/20,22,2,9.84,10.605,65,19.0012,56
455,2011/1/20,23,2,9.84,10.605,65,22.0028,31
456,2011/1/21,0,2,9.84,11.365,70,16.9979,21
457,2011/1/21,1,2,9.84,11.365,70,16.9979,6
458,2011/1/21,2,3,9.84,12.12,75,11.0014,2
459,2011/1/21,3,3,9.02,10.605,80,19.9995,1
460,2011/1/21,4,2,9.02,12.88,87,6.0032,1
461,2011/1/21,5,1,9.84,9.85,60,27.9993,5
462,2011/1/21,6,1,9.02,10.605,55,16.9979,27
463,2011/1/21,7,1,8.2,9.09,51,19.0012,68
464,2011/1/21,8,1,8.2,9.09,47,22.0028,217
465,2011/1/21,9,1,8.2,9.09,51,23.9994,166
466,2011/1/21,10,1,8.2,8.335,47,31.0009,63
467,2011/1/21,11,1,9.02,9.09,41,31.0009,59
468,2011/1/21,12,1,9.02,9.09,27,39.0007,78
469,2011/1/21,13,1,8.2,7.575,21,39.0007,73
470,2011/1/21,14,1,8.2,7.575,25,35.0008,62
