instant,dteday,hr,weathersit,temp,atemp,hum,windspeed,season,holiday,weekday,workingday,cnt
77,2011/1/4,8,1,5.74,7.575,69,11.0014,1,0,2,1,179
78,2011/1/4,9,1,6.56,7.575,64,15.0013,1,0,2,1,100
79,2011/1/4,10,2,6.56,6.82,69,22.0028,1,0,2,1,42
80,2011/1/4,11,1,9.02,10.605,51,19.9995,1,0,2,1,57
81,2011/1/4,12,1,9.02,11.365,51,11.0014,1,0,2,1,78
82,2011/1/4,13,1,9.84,11.365,56,12.998,1,0,2,1,97
83,2011/1/4,14,1,10.66,12.88,52,15.0013,1,0,2,1,63
84,2011/1/4,15,1,11.48,13.635,52,16.9979,1,0,2,1,65
85,2011/1/4,16,1,12.3,14.395,49,16.9979,1,0,2,1,83
86,2011/1/4,17,1,11.48,13.635,48,15.0013,1,0,2,1,212
87,2011/1/4,18,1,10.66,12.88,48,12.998,1,0,2,1,182
88,2011/1/4,19,1,9.84,12.88,48,7.0015,1,0,2,1,112
89,2011/1/4,20,1,9.84,12.88,48,7.0015,1,0,2,1,54
90,2011/1/4,21,1,9.02,13.635,64,0,1,0,2,1,48
91,2011/1/4,22,1,9.02,12.88,64,6.0032,1,0,2,1,35
92,2011/1/4,23,1,8.2,11.365,69,6.0032,1,0,2,1,11
93,2011/1/5,0,1,8.2,12.88,64,0,1,0,3,1,6
94,2011/1/5,1,1,6.56,9.85,74,6.0032,1,0,3,1,6
95,2011/1/5,2,1,6.56,9.85,74,6.0032,1,0,3,1,2
96,2011/1/5,4,1,9.84,11.365,48,15.0013,1,0,3,1,2
97,2011/1/5,5,1,9.02,11.365,47,11.0014,1,0,3,1,3
98,2011/1/5,6,1,8.2,9.85,47,15.0013,1,0,3,1,33
99,2011/1/5,7,1,7.38,9.09,43,12.998,1,0,3,1,88
100,2011/1/5,8,1,8.2,9.09,40,19.9995,1,0,3,1,195
101,2011/1/5,9,1,9.02,9.85,37,22.0028,1,0,3,1,115
102,2011/1/5,10,1,9.02,9.85,37,22.0028,1,0,3,1,57
103,2011/1/5,11,1,10.66,11.365,33,22.0028,1,0,3,1,46
104,2011/1/5,12,1,10.66,11.365,33,22.0028,1,0,3,1,79
105,2011/1/5,13,1,11.48,12.88,30,19.9995,1,0,3,1,71
106,2011/1/5,14,1,12.3,14.395,28,12.998,1,0,3,1,62
107,2011/1/5,15,1,12.3,14.395,28,12.998,1,0,3,1,62
108,2011/1/5,16,1,12.3,15.91,28,6.0032,1,0,3,1,89
109,2011/1/5,17,1,9.84,11.365,38,12.998,1,0,3,1,190
110,2011/1/5,18,1,9.84,12.12,38,8.9981,1,0,3,1,169
111,2011/1/5,19,1,9.84,12.88,38,7.0015,1,0,3,1,132
112,2011/1/5,20,1,9.02,11.365,47,11.0014,1,0,3,1,89
113,2011/1/5,21,1,8.2,9.85,51,12.998,1,0,3,1,43
114,2011/1/5,22,1,7.38,9.85,55,8.9981,1,0,3,1,42
115,2011/1/5,23,1,8.2,12.88,47,0,1,0,3,1,19
116,2011/1/6,0,1,7.38,12.12,55,0,1,0,4,1,11
117,2011/1/6,1,1,6.56,11.365,64,0,1,0,4,1,4
118,2011/1/6,2,1,6.56,11.365,64,0,1,0,4,1,2
119,2011/1/6,4,2,6.56,9.85,64,6.0032,1,0,4,1,1
120,2011/1/6,5,2,5.74,9.09,69,6.0032,1,0,4,1,4
121,2011/1/6,6,2,5.74,8.335,63,7.0015,1,0,4,1,36
122,2011/1/6,7,2,6.56,11.365,59,0,1,0,4,1,95
123,2011/1/6,8,1,6.56,11.365,59,0,1,0,4,1,219
124,2011/1/6,9,2,7.38,12.12,51,0,1,0,4,1,122
125,2011/1/6,10,1,8.2,12.88,47,0,1,0,4,1,45
126,2011/1/6,11,1,9.02,12.88,44,6.0032,1,0,4,1,59
127,2011/1/6,12,1,10.66,14.395,35,0,1,0,4,1,84
128,2011/1/6,13,1,10.66,13.635,35,7.0015,1,0,4,1,67
129,2011/1/6,14,1,11.48,13.635,36,11.0014,1,0,4,1,70
130,2011/1/6,15,1,11.48,13.635,36,0,1,0,4,1,62
131,2011/1/6,16,1,10.66,12.88,38,11.0014,1,0,4,1,86
132,2011/1/6,17,1,9.02,11.365,51,11.0014,1,0,4,1,172
133,2011/1/6,18,1,9.02,11.365,51,8.9981,1,0,4,1,163
134,2011/1/6,19,1,9.02,12.88,55,6.0032,1,0,4,1,112
135,2011/1/6,20,1,8.2,10.605,51,11.0014,1,0,4,1,69
136,2011/1/6,21,2,9.02,10.605,55,15.0013,1,0,4,1,48
137,2011/1/6,22,2,9.02,10.605,51,19.0012,1,0,4,1,52
138,2011/1/6,23,2,8.2,9.85,59,12.998,1,0,4,1,23
139,2011/1/7,0,2,8.2,9.85,64,12.998,1,0,5,1,17
140,2011/1/7,1,2,8.2,9.85,69,15.0013,1,0,5,1,7
141,2011/1/7,2,2,8.2,9.85,69,15.0013,1,0,5,1,1
142,2011/1/7,4,2,8.2,10.605,69,8.9981,1,0,5,1,1
143,2011/1/7,5,3,9.02,13.635,55,0,1,0,5,1,5
144,2011/1/7,6,2,8.2,12.88,69,0,1,0,5,1,34
145,2011/1/7,7,1,8.2,10.605,69,8.9981,1,0,5,1,84
146,2011/1/7,8,1,8.2,9.85,51,16.9979,1,0,5,1,210
147,2011/1/7,9,1,8.2,9.09,47,19.9995,1,0,5,1,134
148,2011/1/7,10,1,9.02,9.85,37,22.0028,1,0,5,1,63
149,2011/1/7,11,2,8.2,9.85,40,15.0013,1,0,5,1,67
150,2011/1/7,12,2,8.2,9.85,37,16.9979,1,0,5,1,59
151,2011/1/7,13,2,8.2,9.09,37,19.0012,1,0,5,1,73
152,2011/1/7,14,2,8.2,9.85,40,16.9979,1,0,5,1,50
153,2011/1/7,15,2,8.2,10.605,37,11.0014,1,0,5,1,72
154,2011/1/7,16,2,8.2,10.605,37,11.0014,1,0,5,1,87
155,2011/1/7,17,2,8.2,12.88,37,0,1,0,5,1,187
156,2011/1/7,18,1,8.2,11.365,40,6.0032,1,0,5,1,123
157,2011/1/7,19,1,6.56,9.85,55,6.0032,1,0,5,1,95
158,2011/1/7,20,1,7.38,10.605,47,7.0015,1,0,5,1,51
159,2011/1/7,21,1,7.38,9.85,47,8.9981,1,0,5,1,39
160,2011/1/7,22,2,7.38,9.85,43,11.0014,1,0,5,1,36
161,2011/1/7,23,2,7.38,9.85,51,11.0014,1,0,5,1,15
162,2011/1/8,0,2,7.38,9.85,51,11.0014,1,0,6,0,25
163,2011/1/8,1,2,7.38,10.605,55,6.0032,1,0,6,0,16
164,2011/1/8,2,2,7.38,12.12,55,0,1,0,6,0,16
165,2011/1/8,3,3,7.38,9.85,55,11.0014,1,0,6,0,7
166,2011/1/8,4,3,7.38,9.85,55,11.0014,1,0,6,0,1
167,2011/1/8,5,2,6.56,8.335,74,11.0014,1,0,6,0,5
168,2011/1/8,6,2,6.56,8.335,74,11.0014,1,0,6,0,2
169,2011/1/8,7,2,6.56,9.09,74,7.0015,1,0,6,0,9
170,2011/1/8,8,3,6.56,9.09,93,7.0015,1,0,6,0,15
171,2011/1/8,9,3,6.56,9.09,93,7.0015,1,0,6,0,20
172,2011/1/8,10,2,7.38,9.85,80,11.0014,1,0,6,0,61
173,2011/1/8,11,2,8.2,9.09,69,26.0027,1,0,6,0,62
174,2011/1/8,12,2,8.2,9.09,59,23.9994,1,0,6,0,98
175,2011/1/8,13,1,8.2,9.09,44,22.0028,1,0,6,0,102
176,2011/1/8,14,1,8.2,8.335,32,32.9975,1,0,6,0,95
177,2011/1/8,15,1,8.2,8.335,32,30.0026,1,0,6,0,74
178,2011/1/8,16,1,7.38,6.82,29,30.0026,1,0,6,0,76
179,2011/1/8,17,1,6.56,6.06,37,36.9974,1,0,6,0,69
180,2011/1/8,18,1,5.74,6.06,39,19.9995,1,0,6,0,55
181,2011/1/8,19,1,5.74,6.06,36,16.9979,1,0,6,0,30
182,2011/1/8,20,1,4.92,6.06,36,16.9979,1,0,6,0,28
183,2011/1/8,21,1,4.92,5.305,39,23.9994,1,0,6,0,37
184,2011/1/8,22,1,4.92,5.305,36,26.0027,1,0,6,0,34
185,2011/1/8,23,1,4.1,3.03,39,30.0026,1,0,6,0,22
186,2011/1/9,0,1,4.1,3.79,42,26.0027,1,0,0,0,25
187,2011/1/9,1,1,4.1,3.03,42,31.0009,1,0,0,0,12
188,2011/1/9,2,1,4.1,3.03,46,31.0009,1,0,0,0,11
189,2011/1/9,3,1,4.1,3.79,46,27.9993,1,0,0,0,4
190,2011/1/9,4,1,3.28,4.545,53,12.998,1,0,0,0,1
191,2011/1/9,5,1,3.28,4.545,53,12.998,1,0,0,0,1
192,2011/1/9,6,1,4.1,4.545,49,19.0012,1,0,0,0,1
193,2011/1/9,7,1,3.28,4.545,53,12.998,1,0,0,0,6
194,2011/1/9,8,1,4.1,4.545,49,19.0012,1,0,0,0,10
195,2011/1/9,9,1,4.92,3.79,46,35.0008,1,0,0,0,19
196,2011/1/9,10,1,5.74,5.305,43,26.0027,1,0,0,0,49
197,2011/1/9,11,1,6.56,6.06,40,35.0008,1,0,0,0,49
198,2011/1/9,12,1,7.38,6.82,37,30.0026,1,0,0,0,83
199,2011/1/9,13,1,8.2,8.335,34,30.0026,1,0,0,0,75
200,2011/1/9,14,1,9.02,9.09,32,31.0009,1,0,0,0,72
201,2011/1/9,15,1,9.02,9.85,35,23.9994,1,0,0,0,82
202,2011/1/9,16,1,8.2,8.335,34,30.0026,1,0,0,0,92
203,2011/1/9,17,1,7.38,7.575,37,26.0027,1,0,0,0,62
204,2011/1/9,18,1,6.56,6.82,40,22.0028,1,0,0,0,48
205,2011/1/9,19,1,6.56,6.82,43,22.0028,1,0,0,0,41
206,2011/1/9,20,1,5.74,6.06,46,16.9979,1,0,0,0,38
207,2011/1/9,21,1,5.74,5.305,46,27.9993,1,0,0,0,20
208,2011/1/9,22,1,5.74,6.06,46,19.9995,1,0,0,0,15
209,2011/1/9,23,1,4.92,6.82,50,12.998,1,0,0,0,6
210,2011/1/10,0,1,4.92,6.06,50,19.0012,1,0,1,1,5
211,2011/1/10,1,1,4.92,6.06,50,19.0012,1,0,1,1,1
212,2011/1/10,2,1,4.92,6.06,50,15.0013,1,0,1,1,3
213,2011/1/10,3,1,4.92,6.06,50,15.0013,1,0,1,1,1
214,2011/1/10,4,1,4.1,6.06,54,8.9981,1,0,1,1,3
215,2011/1/10,5,1,4.1,5.305,54,16.9979,1,0,1,1,3
216,2011/1/10,6,1,4.92,6.06,50,19.0012,1,0,1,1,31
217,2011/1/10,7,1,4.92,6.06,50,15.0013,1,0,1,1,77
218,2011/1/10,8,2,4.92,6.06,50,19.0012,1,0,1,1,188
220,2011/1/10,10,2,5.74,6.06,50,19.9995,1,0,1,1,31
221,2011/1/10,11,2,6.56,6.82,47,19.0012,1,0,1,1,30
222,2011/1/10,12,2,8.2,9.09,40,19.0012,1,0,1,1,52
223,2011/1/10,13,2,8.2,9.09,40,19.0012,1,0,1,1,54
224,2011/1/10,14,2,8.2,9.85,40,15.0013,1,0,1,1,47
225,2011/1/10,15,2,8.2,9.85,40,15.0013,1,0,1,1,45
226,2011/1/10,16,1,8.2,10.605,40,8.9981,1,0,1,1,74
227,2011/1/10,17,1,8.2,11.365,40,7.0015,1,0,1,1,178
228,2011/1/10,18,1,8.2,9.85,40,15.0013,1,0,1,1,155
229,2011/1/10,19,1,6.56,8.335,47,11.0014,1,0,1,1,95
230,2011/1/10,20,1,6.56,8.335,50,11.0014,1,0,1,1,74
231,2011/1/10,21,1,5.74,6.82,59,12.998,1,0,1,1,38
232,2011/1/10,22,1,5.74,7.575,59,11.0014,1,0,1,1,24
233,2011/1/10,23,1,5.74,7.575,59,11.0014,1,0,1,1,18
234,2011/1/11,0,1,5.74,8.335,59,7.0015,1,0,2,1,12
235,2011/1/11,1,1,5.74,7.575,59,11.0014,1,0,2,1,3
236,2011/1/11,2,2,6.56,7.575,55,12.998,1,0,2,1,3
237,2011/1/11,5,2,6.56,9.09,55,8.9981,1,0,2,1,6
238,2011/1/11,6,2,6.56,9.09,55,8.9981,1,0,2,1,27
239,2011/1/11,7,2,6.56,11.365,55,0,1,0,2,1,99
240,2011/1/11,8,2,7.38,10.605,51,6.0032,1,0,2,1,217
241,2011/1/11,9,2,7.38,9.85,51,11.0014,1,0,2,1,130
242,2011/1/11,10,2,8.2,10.605,51,11.0014,1,0,2,1,54
243,2011/1/11,11,2,8.2,10.605,47,8.9981,1,0,2,1,35
244,2011/1/11,12,2,8.2,11.365,51,7.0015,1,0,2,1,57
245,2011/1/11,13,2,8.2,11.365,59,6.0032,1,0,2,1,52
246,2011/1/11,14,2,8.2,11.365,59,6.0032,1,0,2,1,63
247,2011/1/11,15,2,6.56,9.85,80,6.0032,1,0,2,1,47
248,2011/1/11,16,2,6.56,7.575,86,15.0013,1,0,2,1,76
249,2011/1/11,17,2,6.56,7.575,86,15.0013,1,0,2,1,136
250,2011/1/11,18,3,6.56,9.09,93,7.0015,1,0,2,1,95
251,2011/1/11,19,3,6.56,11.365,93,0,1,0,2,1,51
252,2011/1/11,20,3,6.56,7.575,93,12.998,1,0,2,1,32
253,2011/1/11,21,3,6.56,9.85,86,6.0032,1,0,2,1,20
254,2011/1/11,22,3,6.56,9.09,93,7.0015,1,0,2,1,29
255,2011/1/11,23,3,6.56,9.85,93,6.0032,1,0,2,1,19
256,2011/1/12,0,2,6.56,9.85,86,6.0032,1,0,3,1,7
257,2011/1/12,1,2,6.56,9.09,86,7.0015,1,0,3,1,6
258,2011/1/12,2,1,5.74,7.575,86,8.9981,1,0,3,1,1
259,2011/1/12,5,1,5.74,7.575,86,11.0014,1,0,3,1,5
260,2011/1/12,6,1,4.92,7.575,93,8.9981,1,0,3,1,16
261,2011/1/12,7,1,5.74,7.575,69,8.9981,1,0,3,1,54
262,2011/1/12,8,1,6.56,8.335,59,11.0014,1,0,3,1,128
263,2011/1/12,9,1,6.56,6.82,59,22.0028,1,0,3,1,81
264,2011/1/12,10,1,7.38,9.09,55,15.0013,1,0,3,1,39
265,2011/1/12,11,1,8.2,9.09,51,26.0027,1,0,3,1,35
266,2011/1/12,12,1,8.2,7.575,47,39.0007,1,0,3,1,55
267,2011/1/12,13,1,9.02,9.85,44,23.9994,1,0,3,1,49
268,2011/1/12,14,1,8.2,9.09,47,22.0028,1,0,3,1,44
269,2011/1/12,15,1,8.2,8.335,47,27.9993,1,0,3,1,49
270,2011/1/12,16,1,9.02,9.85,44,22.0028,1,0,3,1,68
271,2011/1/12,17,1,8.2,9.09,47,23.9994,1,0,3,1,139
272,2011/1/12,18,1,8.2,7.575,47,35.0008,1,0,3,1,137
273,2011/1/12,19,1,7.38,7.575,47,27.9993,1,0,3,1,83
274,2011/1/12,20,1,6.56,6.82,50,22.0028,1,0,3,1,56
275,2011/1/12,21,1,6.56,6.82,55,22.0028,1,0,3,1,57
276,2011/1/12,22,1,6.56,6.06,55,30.0026,1,0,3,1,33
277,2011/1/12,23,1,5.74,5.305,59,27.9993,1,0,3,1,20
278,2011/1/13,0,1,5.74,6.06,59,19.0012,1,0,4,1,7
279,2011/1/13,1,1,5.74,6.06,50,19.0012,1,0,4,1,2
280,2011/1/13,2,1,5.74,6.06,50,23.9994,1,0,4,1,2
281,2011/1/13,3,1,5.74,6.06,50,22.0028,1,0,4,1,3
282,2011/1/13,4,1,5.74,6.06,50,16.9979,1,0,4,1,4
283,2011/1/13,5,1,5.74,6.06,50,19.9995,1,0,4,1,3
284,2011/1/13,6,1,4.92,7.575,54,8.9981,1,0,4,1,28
285,2011/1/13,7,1,4.92,7.575,54,8.9981,1,0,4,1,72
286,2011/1/13,8,1,5.74,6.82,50,12.998,1,0,4,1,202
287,2011/1/13,9,1,5.74,6.06,50,22.0028,1,0,4,1,139
288,2011/1/13,10,2,6.56,6.82,50,23.9994,1,0,4,1,38
289,2011/1/13,11,2,8.2,8.335,44,30.0026,1,0,4,1,37
290,2011/1/13,12,1,8.2,8.335,44,27.9993,1,0,4,1,52
291,2011/1/13,13,1,9.02,9.85,41,30.0026,1,0,4,1,83
292,2011/1/13,14,1,9.02,9.85,41,26.0027,1,0,4,1,42
293,2011/1/13,15,1,9.84,10.605,38,19.9995,1,0,4,1,60
294,2011/1/13,16,1,9.84,10.605,38,23.9994,1,0,4,1,78
295,2011/1/13,17,1,8.2,9.09,40,19.0012,1,0,4,1,162
296,2011/1/13,18,1,8.2,9.09,40,22.0028,1,0,4,1,144
297,2011/1/13,19,1,6.56,7.575,47,16.9979,1,0,4,1,99
298,2011/1/13,20,1,6.56,7.575,47,15.0013,1,0,4,1,64
299,2011/1/13,21,1,5.74,6.06,46,19.9995,1,0,4,1,40
300,2011/1/13,22,1,5.74,6.06,46,22.0028,1,0,4,1,30
301,2011/1/13,23,1,4.92,6.82,50,12.998,1,0,4,1,15
302,2011/1/14,0,1,4.92,6.82,50,12.998,1,0,5,1,14
303,2011/1/14,1,1,4.1,6.06,54,11.0014,1,0,5,1,5
304,2011/1/14,2,1,4.1,6.06,54,8.9981,1,0,5,1,1
306,2011/1/14,5,1,4.1,6.82,54,6.0032,1,0,5,1,8
307,2011/1/14,6,1,4.1,9.09,54,0,1,0,5,1,17
308,2011/1/14,7,1,4.1,6.06,74,11.0014,1,0,5,1,70
309,2011/1/14,8,1,4.92,8.335,68,0,1,0,5,1,158
310,2011/1/14,9,1,5.74,7.575,69,8.9981,1,0,5,1,117
311,2011/1/14,10,1,7.38,9.09,55,12.998,1,0,5,1,44
312,2011/1/14,11,1,7.38,8.335,51,19.0012,1,0,5,1,53
313,2011/1/14,12,1,8.2,9.85,44,16.9979,1,0,5,1,61
314,2011/1/14,13,1,9.02,9.85,37,26.0027,1,0,5,1,77
315,2011/1/14,14,1,9.02,10.605,41,19.0012,1,0,5,1,64
316,2011/1/14,15,1,9.84,12.12,38,11.0014,1,0,5,1,68
317,2011/1/14,16,1,9.02,12.12,41,7.0015,1,0,5,1,90
318,2011/1/14,17,1,9.02,11.365,41,11.0014,1,0,5,1,159
319,2011/1/14,18,1,8.2,12.88,47,0,1,0,5,1,139
320,2011/1/14,19,1,6.56,9.85,59,6.0032,1,0,5,1,92
321,2011/1/14,20,1,7.38,12.12,59,0,1,0,5,1,68
322,2011/1/14,21,1,6.56,11.365,69,0,1,0,5,1,52
323,2011/1/14,22,2,6.56,11.365,69,0,1,0,5,1,36
324,2011/1/14,23,2,7.38,12.12,55,0,1,0,5,1,27
325,2011/1/15,0,1,7.38,12.12,55,0,1,0,6,0,28
326,2011/1/15,1,2,6.56,9.85,59,6.0032,1,0,6,0,20
327,2011/1/15,2,2,6.56,9.85,59,6.0032,1,0,6,0,12
328,2011/1/15,3,2,6.56,11.365,59,0,1,0,6,0,8
329,2011/1/15,4,2,6.56,11.365,59,0,1,0,6,0,5
330,2011/1/15,5,1,6.56,11.365,59,0,1,0,6,0,1
331,2011/1/15,6,1,5.74,8.335,63,7.0015,1,0,6,0,3
332,2011/1/15,7,1,5.74,10.605,63,0,1,0,6,0,10
333,2011/1/15,8,1,5.74,7.575,63,8.9981,1,0,6,0,23
334,2011/1/15,9,1,6.56,9.09,64,8.9981,1,0,6,0,33
335,2011/1/15,10,1,7.38,9.85,59,11.0014,1,0,6,0,59
336,2011/1/15,11,1,8.2,9.85,55,15.0013,1,0,6,0,72
337,2011/1/15,12,1,9.84,11.365,48,15.0013,1,0,6,0,89
338,2011/1/15,13,1,11.48,12.88,38,19.9995,1,0,6,0,101
339,2011/1/15,14,1,12.3,14.395,39,19.0012,1,0,6,0,118
340,2011/1/15,15,2,13.12,15.91,36,12.998,1,0,6,0,129
341,2011/1/15,16,2,13.94,16.665,34,12.998,1,0,6,0,128
342,2011/1/15,17,2,13.12,15.15,36,19.0012,1,0,6,0,83
343,2011/1/15,18,2,12.3,14.395,45,16.9979,1,0,6,0,84
344,2011/1/15,19,2,13.12,15.15,39,16.9979,1,0,6,0,74
345,2011/1/15,20,2,13.12,15.15,39,16.9979,1,0,6,0,41
346,2011/1/15,21,2,13.12,15.15,39,15.0013,1,0,6,0,57
347,2011/1/15,22,2,12.3,15.91,42,7.0015,1,0,6,0,26
348,2011/1/15,23,1,12.3,14.395,45,19.0012,1,0,6,0,44
349,2011/1/16,0,1,10.66,15.15,56,0,1,0,0,0,39
350,2011/1/16,1,1,10.66,13.635,56,8.9981,1,0,0,0,23
351,2011/1/16,2,1,10.66,14.395,56,6.0032,1,0,0,0,16
352,2011/1/16,3,1,9.02,13.635,69,0,1,0,0,0,15
353,2011/1/16,4,1,10.66,12.88,56,11.0014,1,0,0,0,1
354,2011/1/16,5,2,10.66,12.88,56,11.0014,1,0,0,0,2
355,2011/1/16,6,2,10.66,12.88,56,11.0014,1,0,0,0,1
357,2011/1/16,8,1,9.02,10.605,55,19.0012,1,0,0,0,18
358,2011/1/16,9,1,9.02,10.605,51,16.9979,1,0,0,0,32
359,2011/1/16,10,1,9.02,10.605,51,19.0012,1,0,0,0,79
360,2011/1/16,11,1,9.84,11.365,44,16.9979,1,0,0,0,93
361,2011/1/16,12,1,9.84,10.605,41,19.0012,1,0,0,0,104
362,2011/1/16,13,1,10.66,11.365,35,19.9995,1,0,0,0,118
363,2011/1/16,14,1,11.48,13.635,36,16.9979,1,0,0,0,91
364,2011/1/16,15,1,10.66,12.12,38,16.9979,1,0,0,0,113
365,2011/1/16,16,1,9.84,11.365,38,15.0013,1,0,0,0,99
366,2011/1/16,17,1,9.02,10.605,37,16.9979,1,0,0,0,105
367,2011/1/16,18,1,8.2,10.605,40,11.0014,1,0,0,0,67
368,2011/1/16,19,1,7.38,9.85,47,8.9981,1,0,0,0,61
369,2011/1/16,20,1,7.38,9.85,47,11.0014,1,0,0,0,57
370,2011/1/16,21,1,7.38,9.85,51,11.0014,1,0,0,0,28
371,2011/1/16,22,2,8.2,10.605,49,8.9981,1,0,0,0,21
372,2011/1/16,23,2,8.2,11.365,40,7.0015,1,0,0,0,18
